"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Toxic Spill","Grand Duke/Grand Duchess","Rancid Radioactive Blue","-","5.35%","Plague Hag",19662
"Toxic Spill","Grand Duke/Grand Duchess","Rancid Radioactive Blue","-","5.33%","Tentacle",19662
"Toxic Spill","Grand Duke/Grand Duchess","Rancid Radioactive Blue","-","4.12%","Scrap Metal Monster",19662
"Toxic Spill","Grand Duke/Grand Duchess","Magical Rancid Radioactive Blue","-","18.28%","The Menace",6221
"Toxic Spill","Grand Duke/Grand Duchess","Magical Rancid Radioactive Blue","-","17.18%","Sludge Swimmer",6221
"Toxic Spill","Grand Duke/Grand Duchess","Magical Rancid Radioactive Blue","-","14.50%","Mutant Mongrel",6221
"Toxic Spill","Grand Duke/Grand Duchess","Magical Rancid Radioactive Blue","-","14.40%","Outbreak Assassin",6221
"Toxic Spill","Grand Duke/Grand Duchess","Magical Rancid Radioactive Blue","-","13.82%","Slimefist",6221
"Toxic Spill","Grand Duke/Grand Duchess","Magical Rancid Radioactive Blue","-","12.99%","Toxic Warrior",6221
"Toxic Spill","Grand Duke/Grand Duchess","Magical Rancid Radioactive Blue","-","2.04%","Biohazard",6221
"Toxic Spill","Grand Duke/Grand Duchess","Magical Rancid Radioactive Blue","-","1.32%","Plague Hag",6221
"Toxic Spill","Grand Duke/Grand Duchess","Magical Rancid Radioactive Blue","-","1.19%","Telekinetic Mutant",6221
"Toxic Spill","Grand Duke/Grand Duchess","Magical Rancid Radioactive Blue","-","1.13%","Scrap Metal Monster",6221
"Toxic Spill","Grand Duke/Grand Duchess","Magical Rancid Radioactive Blue","-","1.04%","Tentacle",6221
"Toxic Spill","Grand Duke/Grand Duchess","Magical Rancid Radioactive Blue","-","1.04%","Sludge Soaker",6221
"Toxic Spill","Grand Duke/Grand Duchess","Magical Rancid Radioactive Blue","-","1.03%","Mutant Ninja",6221
"Toxic Spill","Grand Duke/Grand Duchess","Magical Rancid Radioactive Blue","-","0.03%","Glitchpaw",6221
"Toxic Spill","Archduke/Archduchess","Rancid Radioactive Blue","-","12.77%","Mutant Mongrel",13629
"Toxic Spill","Archduke/Archduchess","Rancid Radioactive Blue","-","11.61%","Mutated Behemoth",13629
